Protein.IDs	Fasta.headers	Razor...unique.peptides.Prn1_1	Razor...unique.peptides.Prn1_2	Razor...unique.peptides.Prn1_3	Razor...unique.peptides.Prn1_4	Razor...unique.peptides.Prn1_H2O2_1	Razor...unique.peptides.Prn1_H2O2_2	Razor...unique.peptides.Prn1_H2O2_3	Razor...unique.peptides.Prn1_H2O2_4	Razor...unique.peptides.WT_H2O2_1	Razor...unique.peptides.WT_H2O2_2	Razor...unique.peptides.WT_H2O2_3	Razor...unique.peptides.WT_H2O2_4	Razor...unique.peptides.WT1	Razor...unique.peptides.WT2	Razor...unique.peptides.WT3	Razor...unique.peptides.WT4	Unique.peptides.Prn1_1	Unique.peptides.Prn1_2	Unique.peptides.Prn1_3	Unique.peptides.Prn1_4	Unique.peptides.Prn1_H2O2_1	Unique.peptides.Prn1_H2O2_2	Unique.peptides.Prn1_H2O2_3	Unique.peptides.Prn1_H2O2_4	Unique.peptides.WT_H2O2_1	Unique.peptides.WT_H2O2_2	Unique.peptides.WT_H2O2_3	Unique.peptides.WT_H2O2_4	Unique.peptides.WT1	Unique.peptides.WT2	Unique.peptides.WT3	Unique.peptides.WT4	Intensity.Prn1_1	Intensity.Prn1_2	Intensity.Prn1_3	Intensity.Prn1_4	Intensity.Prn1_H2O2_1	Intensity.Prn1_H2O2_2	Intensity.Prn1_H2O2_3	Intensity.Prn1_H2O2_4	Intensity.WT_H2O2_1	Intensity.WT_H2O2_2	Intensity.WT_H2O2_3	Intensity.WT_H2O2_4	Intensity.WT1	Intensity.WT2	Intensity.WT3	Intensity.WT4	Only.identified.by.site	Reverse	Potential.contaminant
orf19.1460	orf19.1460 orf19.1460 CGDID:CAL0004651 COORDS:Ca21chr2_C_albicans_SC5314:275001-272857C, translated using codon table 12 (714 amino acids) Uncharacterized ORF; Putative glutamine-dependent NAD synthetase, involved in NAD salvage pathway	8	10	8	11	12	12	9	9	15	13	14	10	10	9	8	8	8	10	8	11	12	12	9	9	15	13	14	10	10	9	8	8	142250000	177680000	113700000	131460000	327170000	355080000	203730000	165790000	412020000	312260000	303960000	211070000	239790000	197660000	93066000	144460000			
orf19.1466	orf19.1466 REX2 CGDID:CAL0004656 COORDS:Ca21chr2_C_albicans_SC5314:283161-283874W, translated using codon table 12 (237 amino acids) Uncharacterized ORF; Putative 3-5 RNA exonuclease with a predicted role in 3-end processing of U4 and U5 snRNAs, 5S and 	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	5393500	0	0	6568300	7413900	0	0	0	4797300	6548200	0	0	0	0	0	0			
orf19.1467	orf19.1467 COX13 CGDID:CAL0004657 COORDS:Ca21chr2_C_albicans_SC5314:284229-284633W, translated using codon table 12 (134 amino acids) Verified ORF; Cytochrome c oxidase; flucytosine induced; repressed by nitric oxide	1	3	3	3	1	0	3	2	1	1	1	3	3	2	1	2	1	3	3	3	1	0	3	2	1	1	1	3	3	2	1	2	25153000	52962000	142370000	64736000	4637600	0	66852000	8996500	2936100	7257100	6206300	42278000	40044000	28826000	4361000	8276100			
orf19.1468	orf19.1468 CDC55 CGDID:CAL0004658 COORDS:Ca21chr2_C_albicans_SC5314:286599-285040C, translated using codon table 12 (519 amino acids) Uncharacterized ORF; Protein of unknown function	2	1	1	1	0	1	0	1	1	1	1	1	1	1	0	2	2	1	1	1	0	1	0	1	1	1	1	1	1	1	0	2	37321000	4192900	61825000	0	0	14890000	0	4922200	8105400	7840700	4680900	0	8031000	5885000	0	15153000			
orf19.1470	orf19.1470 RPS26A CGDID:CAL0004688 COORDS:Ca21chr2_C_albicans_SC5314:288228-287869C, translated using codon table 12 (119 amino acids) Uncharacterized ORF; Ribosomal protein; regulated by Nrg1, Tup1; repressed upon phagocytosis by murine macrophage; altern	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	1717899999.9999998	1149300000	1002299999.9999999	1117600000	963060000	1002999999.9999999	214810000	1105300000	1234000000	1092500000	954760000	845830000	564420000	1202600000	801870000	998580000			
orf19.1471	orf19.1471 COX4 CGDID:CAL0004689 COORDS:Ca21chr2_C_albicans_SC5314:289905-290378W, translated using codon table 12 (157 amino acids) Verified ORF; Putative cytochrome c oxidase subunit IV; Mig1-regulated; macrophage/pseudohyphal-induced gene; macrophage-in	9	8	7	6	9	8	9	4	7	8	6	7	8	9	5	6	9	8	7	6	9	8	9	4	7	8	6	7	8	9	5	6	1566399999.9999998	1113100000	356340000	308840000	1177400000	837250000	626610000	178200000	673160000	707260000	254060000	310960000	2177600000	1231600000	304080000	342620000			
orf19.1474	orf19.1474 SLA1 CGDID:CAL0004691 COORDS:Ca21chr2_C_albicans_SC5314:292480-296253W, translated using codon table 12 (1257 amino acids) Verified ORF; Protein required for assembly of the cortical actin cytoskeleton; contains three SH3 domains; transcription 	2	4	1	2	4	3	4	5	3	3	3	4	5	3	1	2	2	4	1	2	4	3	4	5	3	3	3	4	5	3	1	2	20619000	44541000	11848000	17945000	27973000	24311000	45425000	33107000	247620000	618480000	81355000	114710000	54706000	44754000	6692700	20836000			
orf19.1479	orf19.1479 orf19.1479 CGDID:CAL0004695 COORDS:Ca21chr2_C_albicans_SC5314:304222-301880C, translated using codon table 12 (780 amino acids) Uncharacterized ORF; Ortholog of the mitochondria localized S. cerevisiae Pib2 protein of unknown function; has a FYV	2	2	1	1	2	1	3	2	1	2	2	3	4	4	1	1	2	2	1	1	2	1	3	2	1	2	2	3	4	4	1	1	21586000	13548000	5691000	5625900	14631000	7781300	14155000	13116000	0	17276000	10710000	14536000	37490000	31043000	5358000	7397300			
orf19.1483	orf19.1483 orf19.1483 CGDID:CAL0004735 COORDS:Ca21chr2_C_albicans_SC5314:310614-310219C, translated using codon table 12 (131 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	45054000	44900000	29450000	45759000	35503000	0	14741000	42294000	33712000	58452000	25018000	36965000	45793000	30480000	32881000	52870000			
orf19.1485	orf19.1485 orf19.1485 CGDID:CAL0004737 COORDS:Ca21chr2_C_albicans_SC5314:312166-311825C, translated using codon table 12 (113 amino acids) Uncharacterized ORF; Mitochondrial ribosomal protein of the large subunit; rat catheter biofilm induced	2	2	2	2	2	2	2	1	2	2	2	1	2	3	1	1	2	2	2	2	2	2	2	1	2	2	2	1	2	3	1	1	56081000	42904000	38821000	28925000	34387000	13898000	35375000	5921500	57896000	36974000	16705000	8031500	16656000	71368000	13132000	9071900			
orf19.1493	orf19.1493 RAD7 CGDID:CAL0004778 COORDS:Ca21chr2_C_albicans_SC5314:340557-338599C, translated using codon table 12 (652 amino acids) Uncharacterized ORF; Protein similar to S. cerevisiae Rad7p, which is a subunit of the Nucleotide Excision Repair Factor 4;	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20384000	0	0	0	0	10606000	0	0	0	0	0	0			
orf19.1494	orf19.1494 RAD23 CGDID:CAL0004779 COORDS:Ca21chr2_C_albicans_SC5314:341240-342678W, translated using codon table 12 (417 amino acids) Uncharacterized ORF; S. cerevisiae Rad23 ortholog; binds damaged DNA; Spider biofilm repressed	6	5	5	5	5	6	5	6	6	7	4	3	8	6	3	5	6	5	5	5	5	6	5	6	6	7	4	3	8	6	3	5	222920000	186540000	151260000	132060000	209850000	214400000	122450000	198270000	217330000	352060000	130680000	123740000	350290000	262970000	88334000	163010000			
orf19.1495	orf19.1495 orf19.1495 CGDID:CAL0004780 COORDS:Ca21chr2_C_albicans_SC5314:343631-342834C, translated using codon table 12 (265 amino acids) Uncharacterized ORF; Protein of unknown function	8	8	8	6	10	9	4	3	7	10	7	6	6	7	10	8	8	8	8	6	10	9	4	3	7	10	7	6	6	7	10	8	127360000	106070000	165410000	81520000	150480000	136490000	41795000	39725000	118780000	137830000	85441000	63025000	77502000	82308000	119300000	130500000			
orf19.1516	orf19.1516 orf19.1516 CGDID:CAL0005412 COORDS:Ca21chr2_C_albicans_SC5314:389652-392036W, translated using codon table 12 (794 amino acids) Uncharacterized ORF; Protein of unknown function	2	4	2	3	2	5	2	3	3	9	2	3	1	3	2	3	2	4	2	3	2	5	2	3	3	9	2	3	1	3	2	3	28168000	53581000	40371000	47094000	17687000	52908000	26393000	29257000	35953000	113490000	34692000	45344000	7979000	19567000	27516000	36367000			
orf19.1517	orf19.1517 ARO3 CGDID:CAL0005414 COORDS:Ca21chr2_C_albicans_SC5314:392667-393895W, translated using codon table 12 (371 amino acids) Verified ORF; 3-deoxy-D-arabinoheptulosonate-7-phosphate synthase; aromatic amino acid synthesis; GCN-regulated; feedback-i	14	14	18	19	17	16	14	15	16	17	15	14	10	17	21	15	14	14	18	19	17	16	14	15	16	17	15	14	10	17	21	15	1652399999.9999998	1767399999.9999998	3233099999.9999995	2723400000	3219899999.9999995	3023399999.9999995	1568499999.9999998	1585799999.9999998	2838600000	3081299999.9999995	1902599999.9999998	1985099999.9999998	966400000	1795399999.9999998	2281000000	2641100000			
orf19.1535	orf19.1535 orf19.1535 CGDID:CAL0005474 COORDS:Ca21chr2_C_albicans_SC5314:430444-429650C, translated using codon table 12 (264 amino acids) Uncharacterized ORF; Protein of unknown function; Hap43-induced gene	1	1	2	1	1	2	2	1	0	1	1	2	2	2	2	2	1	1	2	1	1	2	2	1	0	1	1	2	2	2	2	2	5247600	5560100	28704000	5550100	4309000	10764000	9796600	7387300	0	6444100	7451400	15425000	14563000	22786000	23344000	18561000			
orf19.1544	orf19.1544 orf19.1544 CGDID:CAL0005505 COORDS:Ca21chr2_C_albicans_SC5314:455598-456395W, translated using codon table 12 (265 amino acids) Uncharacterized ORF; Putative cis-golgi localized protein involved in ER to Golgi transport; Spider biofilm repressed	6	6	6	5	4	5	5	9	5	6	5	7	7	5	6	7	6	6	6	5	4	5	5	9	5	6	5	7	7	5	6	7	95577000	101720000	139720000	61461000	71397000	84966000	132180000	214510000	58506000	109720000	115050000	165440000	163920000	98314000	111750000	159350000			
orf19.1545	orf19.1545 orf19.1545 CGDID:CAL0005507 COORDS:Ca21chr2_C_albicans_SC5314:456971-456504C, translated using codon table 12 (155 amino acids) Uncharacterized ORF; Protein of unknown function	3	4	3	4	5	3	2	2	5	5	3	3	0	2	2	3	3	4	3	4	5	3	2	2	5	5	3	3	0	2	2	3	45353000	60506000	47636000	57692000	70757000	45269000	11561000	18045000	58234000	73720000	18929000	25128000	0	20409000	15222000	37830000			
orf19.155	orf19.155 URE2 CGDID:CAL0003152 COORDS:Ca21chr2_C_albicans_SC5314:987521-986487C, translated using codon table 12 (344 amino acids) Verified ORF; Functional homolog of S. cerevisiae Ure2p, which is a regulator of nitrogen utilization, and which also has an	0	0	4	3	2	0	2	1	2	2	3	2	0	0	2	2	0	0	4	3	2	0	2	1	2	2	3	2	0	0	2	2	0	0	106700000	144320000	26390000	0	22002000	10896000	22196000	29638000	45200000	37125000	0	0	55526000	46978000			
orf19.1552	orf19.1552 CPR3 CGDID:CAL0005525 COORDS:Ca21chr2_C_albicans_SC5314:461919-461344C, translated using codon table 12 (191 amino acids) Uncharacterized ORF; Putative peptidyl-prolyl cis-trans isomerase; macrophage-induced protein; protein levels decrease in s	7	7	7	7	6	7	6	7	6	7	7	6	7	7	6	7	7	7	7	7	6	7	6	7	6	7	7	6	7	7	6	7	2486100000	2577400000	3265499999.9999995	2076299999.9999998	3583899999.9999995	2665000000	3353799999.9999995	2270500000	1902699999.9999998	3468999999.9999995	2261700000	2400100000	3045699999.9999995	2914799999.9999995	2261100000	2709900000			
orf19.1553	orf19.1553 ENT3 CGDID:CAL0005527 COORDS:Ca21chr2_C_albicans_SC5314:463878-462431C, translated using codon table 12 (453 amino acids) Uncharacterized ORF; Putative epsin; induced during the mating process; transcript is upregulated in an RHE model of oral c	7	6	4	6	6	8	7	7	6	7	7	6	7	6	5	5	7	6	4	6	6	8	7	7	6	7	7	6	7	6	5	5	199220000	196140000	192300000	262440000	280540000	283590000	273680000	208840000	268740000	428320000	176690000	206330000	268920000	252210000	209290000	174160000			
orf19.1559	orf19.1559 HOM2 CGDID:CAL0005534 COORDS:Ca21chr2_C_albicans_SC5314:470709-469612C, translated using codon table 12 (365 amino acids) Uncharacterized ORF; Aspartate-semialdehyde dehydrogenase; forms a homodimer; conserved in bacteria, archaea, and fungi but	13	13	10	10	12	12	11	13	12	13	9	10	12	12	13	10	13	13	10	10	12	12	11	13	12	13	9	10	12	12	13	10	2532700000	2500300000	2232200000	2158600000	2974999999.9999995	2774600000	1747799999.9999998	2273700000	2726600000	3151999999.9999995	2066599999.9999998	2039199999.9999998	3369599999.9999995	3056199999.9999995	2205200000	2050399999.9999998			
orf19.1565	orf19.1565 orf19.1565 CGDID:CAL0005565 COORDS:Ca21chr2_C_albicans_SC5314:481184-479343C, translated using codon table 12 (613 amino acids) Uncharacterized ORF; Protein of unknown function	0	0	0	0	0	2	1	3	0	1	2	2	0	1	2	3	0	0	0	0	0	2	1	3	0	1	2	2	0	1	2	3	0	0	0	0	0	2740600	2154400	4472500	0	0	6053100	0	0	3020500	2896500	4856600			
orf19.1566	orf19.1566 UTP21 CGDID:CAL0005566 COORDS:Ca21chr2_C_albicans_SC5314:481408-484236W, translated using codon table 12 (942 amino acids) Verified ORF; Putative U3 snoRNP protein; Hap43-induce; physically interacts with TAP-tagged Nop1; Spider biofilm induced	0	0	0	1	1	1	0	0	0	2	0	1	0	0	2	2	0	0	0	1	1	1	0	0	0	2	0	1	0	0	2	2	0	0	0	9864600	12200000	3570300	0	0	0	12355000	0	3956100	0	0	13017000	8479600			
orf19.1575	orf19.1575 PRS1 CGDID:CAL0005603 COORDS:Ca21chr2_C_albicans_SC5314:503401-504363W, translated using codon table 12 (320 amino acids) Verified ORF; Phosphoribosylpyrophosphate synthetase; enzyme of purine, pyrimidine, histidine, and tryptophan biosynthesis;	2	4	2	5	1	1	0	1	1	4	1	1	1	4	3	3	2	4	2	4	1	1	0	1	1	3	1	1	1	4	3	3	85900000	89662000	82322000	241390000	0	15299000	0	8865800	17357000	137760000	13488000	10793000	14680000	54733000	76083000	148480000			
orf19.158	orf19.158 orf19.158 CGDID:CAL0003160 COORDS:Ca21chr3_C_albicans_SC5314:233667-232741C, translated using codon table 12 (308 amino acids) Uncharacterized ORF; Ortholog of S. cerevisiae Apd1; required for normal localization of actin patches and normal toler	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4896000	13430000	0	0	0	0	0	0	0	0	0	0	5977400	4446000			
orf19.5797;orf19.1586	orf19.5797 PLC2 CGDID:CAL0001556 COORDS:Ca21chr2_C_albicans_SC5314:614063-614950W, translated using codon table 12 (295 amino acids) Verified ORF; Phosphatidylinositol (PtdIns)-specific phospholipase C (PI-PLC); predicted type 2 membrane protein; role in, 	2	1	0	1	3	2	1	2	1	4	1	3	1	2	3	4	2	1	0	1	3	2	1	2	1	4	1	3	1	2	3	4	28110000	9549900	0	13888000	43173000	30907000	6019000	39561000	12619000	44485000	9651000	34356000	7146000	35443000	49236000	47993000			
orf19.1588	orf19.1588 orf19.1588 CGDID:CAL0005646 COORDS:Ca21chr2_C_albicans_SC5314:529140-529559W, translated using codon table 12 (139 amino acids) Uncharacterized ORF; Putative mitochondrial protein of unknown function; regulated by Sef1p-, Sfu1p-, and Hap43p	5	4	5	5	4	4	4	5	4	4	5	5	5	5	5	4	5	4	5	5	4	4	4	5	4	4	5	5	5	5	5	4	271480000	128940000	284830000	210400000	134670000	158170000	98086000	285920000	83385000	184720000	260100000	278270000	370150000	140270000	189350000	133220000			
orf19.5809;orf19.1589.1	orf19.5809 orf19.5809 CGDID:CAL0002259 COORDS:Ca21chr2_C_albicans_SC5314:588237-589598W, translated using codon table 12 (453 amino acids) Uncharacterized ORF; Putative arylformamidase, enzyme of the NAD biosynthesis pathway; Gcn4p-regulated;orf19.1589.1 o	1	1	1	2	2	2	0	1	1	2	2	0	2	1	2	2	1	1	1	2	2	2	0	1	1	2	2	0	2	1	2	2	44898000	40485000	9926400	42664000	65412000	50151000	0	9012500	60826000	53496000	32883000	0	43390000	33213000	63645000	21021000			
orf19.1591	orf19.1591 ERG10 CGDID:CAL0005678 COORDS:Ca21chr2_C_albicans_SC5314:902615-903823W, translated using codon table 12 (402 amino acids) Uncharacterized ORF; Acetyl-CoA acetyltransferase; role in ergosterol biosynthesis; soluble in hyphae; changes in protein 	20	20	19	22	19	19	20	21	20	20	19	20	21	20	20	20	20	20	19	22	19	19	20	21	20	20	19	20	21	20	20	20	8019099999.999999	8537099999.999999	9595300000	9421300000	8081499999.999999	6203799999.999999	6509299999.999999	9301700000	7570899999.999999	8068899999.999999	6976699999.999999	7358799999.999999	10335000000	9231900000	7143199999.999999	8118299999.999999			
orf19.1601	orf19.1601 RPL3 CGDID:CAL0006304 COORDS:Ca21chr2_C_albicans_SC5314:1921934-1923103W, translated using codon table 12 (389 amino acids) Verified ORF; Ribosomal protein, large subunit; induced by ciclopirox olamine treatment; genes encoding cytoplasmic ribos	21	22	22	23	21	21	18	21	21	22	23	24	20	20	22	20	21	22	22	23	21	21	18	21	21	22	23	24	20	20	22	20	15696000000	13549000000	14338000000	15431000000	9550600000	8647200000	3921999999.9999995	12146000000	15468000000	10465000000	13335000000	16820000000	7523599999.999999	9788900000	9702600000	9692600000			
orf19.1609	orf19.1609 orf19.1609 CGDID:CAL0006321 COORDS:Ca21chr3_C_albicans_SC5314:512847-514847W, translated using codon table 12 (666 amino acids) Uncharacterized ORF; Protein of unknown function	3	2	4	6	2	4	6	5	3	6	5	6	2	2	6	4	3	2	4	6	2	4	6	5	3	6	5	6	2	2	6	4	29063000	24645000	56505000	74514000	35140000	45538000	113840000	75258000	30186000	67724000	66377000	102020000	30830000	20971000	72952000	89008000			
orf19.1613	orf19.1613 ILV2 CGDID:CAL0006335 COORDS:Ca21chr3_C_albicans_SC5314:507202-509253W, translated using codon table 12 (683 amino acids) Verified ORF; Putative acetolactate synthase; regulated by Gcn4p; induced by amino acid starvation (3-AT treatment); statio	2	2	1	0	4	4	2	1	4	6	0	2	3	2	0	0	2	2	1	0	4	4	2	1	4	6	0	2	3	2	0	0	6966700	31568000	12587000	0	54051000	22512000	20927000	78470000	59333000	97733000	0	17197000	32424000	31567000	0	0			
orf19.1623	orf19.1623 CAP1 CGDID:CAL0006368 COORDS:Ca21chr3_C_albicans_SC5314:479014-480513W, translated using codon table 12 (499 amino acids) Verified ORF; AP-1 bZIP transcription factor; apoptotic, oxidative stress response/resistance, multidrug resistance; nuclea	5	4	5	4	8	5	3	7	5	7	7	4	6	4	4	4	5	4	5	4	8	5	3	7	5	7	7	4	6	4	4	4	65112000	51576000	48232000	82979000	190210000	77203000	55009000	113050000	81433000	173190000	100920000	72843000	114570000	43148000	76620000	87994000			
orf19.1626	orf19.1626 orf19.1626 CGDID:CAL0006376 COORDS:Ca21chr3_C_albicans_SC5314:473523-472384C, translated using codon table 12 (379 amino acids) Uncharacterized ORF; Deoxyhypusine synthase; catalyzes formation of deoxyhypusine, the first step in hypusine biosynt	12	14	14	14	13	14	11	11	12	10	12	13	12	10	10	13	12	14	14	14	13	14	11	11	12	10	12	13	12	10	10	13	767210000	761500000	1050899999.9999999	929060000	714880000	693820000	450420000	361160000	854450000	598570000	548490000	676820000	465840000	421310000	543470000	687120000			
orf19.1628	orf19.1628 LAP41 CGDID:CAL0006379 COORDS:Ca21chr3_C_albicans_SC5314:472085-470532C, translated using codon table 12 (517 amino acids) Verified ORF; Putative aminopeptidase yscI precursor; mutant is viable; protein present in exponential and stationary grow	14	13	14	13	14	14	15	13	16	15	15	13	13	12	12	13	14	13	14	13	14	14	15	13	16	15	15	13	13	12	12	13	879130000	900210000	939300000	808370000	1112700000	794080000	759410000	720560000	1438200000	1571899999.9999998	1026999999.9999999	721480000	912480000	840300000	709600000	599700000			
orf19.163	orf19.163 PAN6 CGDID:CAL0003183 COORDS:Ca21chrR_C_albicans_SC5314:576987-577937W, translated using codon table 12 (316 amino acids) Uncharacterized ORF; Protein of unknown function	5	6	8	10	6	7	9	6	5	7	8	9	4	5	10	10	5	6	8	10	6	7	9	6	5	7	8	9	4	5	10	10	58632000	142430000	270120000	270790000	92737000	115360000	153710000	96749000	72129000	136570000	132130000	176120000	33563000	74378000	232600000	212390000			
orf19.1630	orf19.1630 orf19.1630 CGDID:CAL0006396 COORDS:Ca21chr3_C_albicans_SC5314:469711-467187C, translated using codon table 12 (760 amino acids) Uncharacterized ORF; Protein of unknown function	1	0	1	0	1	1	0	1	0	1	0	0	2	2	0	0	1	0	1	0	1	1	0	1	0	1	0	0	2	2	0	0	6737200	0	0	0	31223000	0	0	41847000	0	0	0	0	9869700	12424000	0	0			
orf19.1631	orf19.1631 ERG6 CGDID:CAL0006397 COORDS:Ca21chr3_C_albicans_SC5314:466244-465114C, translated using codon table 12 (376 amino acids) Verified ORF; Delta(24)-sterol C-methyltransferase, converts zymosterol to fecosterol, ergosterol biosynthesis; mutation co	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	15390000	25945000	44175000	19483000	18321000	12966000	129150000	47013000	13416000	26283000	41018000	93200000	20806000	25731000	17767000	20253000			
orf19.1633	orf19.1633 UTP4 CGDID:CAL0006401 COORDS:Ca21chr3_C_albicans_SC5314:460973-463204W, translated using codon table 12 (743 amino acids) Verified ORF; Putative U3 snoRNA-associated protein; Hap43-induced; physically interacts with TAP-tagged Nop1; Spider biofi	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	15112000	11315000	0	0	0	0	0	0	12951000	0	0	0	10737000	8119100			
orf19.1635	orf19.1635 RPL12 CGDID:CAL0006405 COORDS:Ca21chr3_C_albicans_SC5314:457876-458373W, translated using codon table 12 (165 amino acids) Uncharacterized ORF; Ribosomal protein L12, 60S ribosomal subunit; downregulated by human whole blood or polymorphonuclear	9	10	9	11	10	11	10	11	10	8	11	10	10	10	11	10	9	10	9	11	10	11	10	11	10	8	11	10	10	10	11	10	9833400000	9999300000	14507000000	12677000000	7295099999.999999	5052100000	4589200000	8919100000	8895300000	9387800000	8351399999.999999	8192699999.999999	6497299999.999999	9264800000	11052000000	11301000000			
orf19.1637	orf19.1637 orf19.1637 CGDID:CAL0006410 COORDS:Ca21chr3_C_albicans_SC5314:455045-454104C, translated using codon table 12 (313 amino acids) Uncharacterized ORF; Protein of unknown function	1	2	1	2	2	2	3	2	2	5	2	2	2	2	1	2	1	2	1	2	2	2	3	2	2	5	2	2	2	2	1	2	2349900	43656000	60196000	35385000	66468000	52155000	56330000	45903000	70197000	125670000	47298000	38427000	38862000	77685000	47876000	62125000			
orf19.1642	orf19.1642 orf19.1642 CGDID:CAL0000014 COORDS:Ca21chr3_C_albicans_SC5314:447342-446722C, translated using codon table 12 (206 amino acids) Uncharacterized ORF; Ortholog of S. cerevisiae Loc1, a nuclear protein involved in asymmetric localization of ASH1 mR	2	1	2	2	1	1	0	5	1	1	1	2	1	1	3	1	2	1	2	2	1	1	0	5	1	1	1	2	1	1	3	1	99824000	93117000	86037000	14662000	69875000	47300000	0	37415000	2233900	62086000	52049000	51428000	12659000	108240000	87416000	71513000			
orf19.1646	orf19.1646 orf19.1646 CGDID:CAL0000019 COORDS:Ca21chr3_C_albicans_SC5314:442964-445489W, translated using codon table 12 (841 amino acids) Uncharacterized ORF; Protein of unknown function	1	1	0	1	1	1	2	2	1	2	1	1	1	1	0	0	1	1	0	1	1	1	2	2	1	2	1	1	1	1	0	0	7069800	5661700	0	0	8079100	9818600	7174300	14239000	0	11856000	5196600	6311800	5641600	5730200	0	0			
orf19.1649	orf19.1649 RNA1 CGDID:CAL0000022 COORDS:Ca21chr3_C_albicans_SC5314:436239-437483W, translated using codon table 12 (414 amino acids) Uncharacterized ORF; Putative GTPase-activating protein; protein level decreases in stationary phase cultures; Spider biofi	20	18	19	20	19	19	15	14	16	18	13	12	18	18	20	17	20	18	19	20	19	19	15	14	16	18	13	12	18	18	20	17	1581599999.9999998	1442300000	1542399999.9999998	1111000000	1712499999.9999998	1541099999.9999998	714840000	545760000	1460299999.9999998	1614799999.9999998	606480000	442440000	1271100000	1388000000	1061999999.9999999	1241800000			
orf19.1652	orf19.1652 POX1-3 CGDID:CAL0000034 COORDS:Ca21chr3_C_albicans_SC5314:431732-429603C, translated using codon table 12 (709 amino acids) Uncharacterized ORF; Predicted acyl-CoA oxidase; farnesol regulated; stationary phase enriched protein; Spider biofilm in	8	10	8	12	10	12	9	12	13	4	7	9	5	4	10	5	7	9	6	9	8	11	7	10	11	2	6	8	5	4	8	4	113290000	194360000	193050000	216500000	187110000	229560000	160690000	213980000	333460000	87706000	116010000	131670000	84990000	41289000	148690000	79603000			
orf19.1658	orf19.1658 orf19.1658 CGDID:CAL0000043 COORDS:Ca21chr3_C_albicans_SC5314:416640-414753C, translated using codon table 12 (443 amino acids) Uncharacterized ORF; Protein of unknown function	2	2	4	2	3	1	2	2	2	4	5	4	5	3	3	4	2	2	4	2	3	1	2	2	2	4	5	4	5	3	3	4	29349000	27074000	69390000	20274000	55730000	29881000	25812000	40491000	21567000	59138000	90368000	33095000	62236000	59491000	43487000	72780000			
orf19.1661	orf19.1661 DBP5 CGDID:CAL0000067 COORDS:Ca21chr3_C_albicans_SC5314:411948-410326C, translated using codon table 12 (540 amino acids) Uncharacterized ORF; Protein of unknown function	3	2	1	1	2	3	5	5	1	2	2	4	3	3	1	1	3	2	1	1	2	3	5	5	1	2	2	4	3	3	1	1	33312000	19412000	3182900	2881100	32498000	49370000	61211000	58420000	8803100	28600000	26133000	44251000	38662000	20672000	4019500	4772400			
orf19.1662	orf19.1662 orf19.1662 CGDID:CAL0000068 COORDS:Ca21chr3_C_albicans_SC5314:409037-410092W, translated using codon table 12 (351 amino acids) Uncharacterized ORF; Protein of unknown function	7	7	5	7	6	6	3	3	5	6	3	3	4	4	6	5	7	7	5	7	6	6	3	3	5	6	3	3	4	4	6	5	94589000	167310000	110710000	157870000	172250000	123260000	19220000	35646000	110550000	243050000	43912000	40813000	33183000	92673000	87055000	99112000			
orf19.1665	orf19.1665 MNT1 CGDID:CAL0000071 COORDS:Ca21chr3_C_albicans_SC5314:400421-399126C, translated using codon table 12 (431 amino acids) Verified ORF; Alpha-1,2-mannosyl transferase; predicted type II Golgi membrane protein; adds 2nd mannose during cell-wall m	1	1	1	1	0	0	1	2	2	1	1	2	1	2	0	1	1	1	1	1	0	0	1	2	2	1	1	2	1	2	0	1	6262900	0	0	4652400	0	0	10069000	16297000	5463300	0	11911000	24916000	0	7419100	0	4996900			
orf19.1666	orf19.1666 orf19.1666 CGDID:CAL0000072 COORDS:Ca21chr3_C_albicans_SC5314:396747-395152C, translated using codon table 12 (531 amino acids) Uncharacterized ORF; Ortholog of Dig2, a MAP kinase-responsive inhibitor of Ste12; regulates mating-specific genes an	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3625800	0	0	0	0	0	0	3681900	0	0	0			
